,cohort,treatment2,user_count,has_ride_sum,has_ride_avg,discount_all_avg,discount_avg,gmv_avg,nmv_avg,finished_order_avg,control_gmv_avg,control_has_ride_avg,control_discount_all_avg,gmv_uplift,gmv_uplift_ratio,activation_uplift,activation_uplift_ratio,discount_all_sum p-val,gmv_sum p-val,nmv_sum p-val,finished_order_count p-val,has_ride p-val
10,high_recency,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",4826,1281,0.2654372150849565,0.3483154245076157,0.22631313102215284,1.794801061657479,1.4464856371498627,0.7086614173228346,1.3527052398637718,0.24440259468508055,0.002775481745703804,0.4420958217937072,1.2692398633183155,0.021034620399875942,0.06038957485047015,0.0,0.0,0.2344,0.0,0.018
11,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",4672,1180,0.2525684931506849,0.1147394809015938,0.05571331029356157,1.4323289490745208,1.3175894681729257,0.5603595890410958,1.3527052398637718,0.24440259468508055,0.002775481745703804,0.07962370921074902,0.6939521478142141,0.008165898465604365,0.0711690379060355,0.0,0.3369,0.6869,0.0818,0.3585
12,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",4784,1324,0.27675585284280935,0.23063068304489273,0.12969117089811766,1.6125060402807416,1.3818753572358502,0.6262541806020067,1.3527052398637718,0.24440259468508055,0.002775481745703804,0.25980080041696985,1.1264797770485686,0.0323532581577288,0.14028167341216768,0.0,0.0023,0.6904,0.0001,0.0003
13,high_recency,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",4768,1284,0.26929530201342283,0.34892509297079943,0.2051423301591177,1.6670351829490893,1.3181100899782927,0.6552013422818792,1.3527052398637718,0.24440259468508055,0.002775481745703804,0.3143299430853175,0.9008522156118559,0.024892707328342284,0.07134112114552187,0.0,0.0003,0.6883,0.0,0.0054
14,med_activity,None_control,2158,437,0.20250231696014828,0.0,0.0,0.9688741302602112,0.9688741302602112,0.3526413345690454,0.9688741302602112,0.20250231696014828,0.0,,,,,,1.0,1.0,1.0,1.0
15,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -10% x 10 (5 ZAR)_10",2165,518,0.23926096997690532,0.06337101074191252,0.04287153343797131,1.2567125958125118,1.1933415850705997,0.4646651270207852,0.9688741302602112,0.20250231696014828,0.0,0.28783846555230064,4.542115743183643,0.03675865301675704,0.5800547061883217,0.0,0.0071,0.0313,0.0004,0.0036
16,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -20% x 10 (10 ZAR)_20",2144,510,0.23787313432835822,0.14682401706281004,0.0995567477548662,1.280447436911906,1.1336234198490958,0.48880597014925375,0.9688741302602112,0.20250231696014828,0.0,0.3115733066516949,2.122086787193723,0.035370817368209934,0.24090620918700656,0.0,0.002,0.0774,0.0,0.0051
17,med_activity,"ZA, Durban, 2021W4, unlockable lock test, -30% x 10 (15 ZAR)_30",2126,573,0.26952022577610535,0.24158932459854188,0.1805700852101642,1.4903558161270878,1.2487664915285461,0.570555032925682,0.9688741302602112,0.20250231696014828,0.0,0.5214816858668766,2.1585460646220294,0.06701790881595707,0.2774042641467013,0.0,0.0,0.0023,0.0,0.0
18,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -10% x 10 (5 ZAR)_10",2259,530,0.23461708720672864,0.09324069940048502,0.04441994500703648,1.171618616178525,1.0783779167780427,0.4444444444444444,0.9688741302602112,0.20250231696014828,0.0,0.20274448591831373,2.174420475413756,0.032114770246580354,0.3444286717395998,0.0,0.0283,0.2203,0.0026,0.0098
19,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -20% x 10 (10 ZAR)_20",2178,532,0.24426078971533516,0.10351430360244293,0.10351430360244293,1.2011911244759887,1.0976768208735463,0.4591368227731864,0.9688741302602112,0.20250231696014828,0.0,0.23231699421577756,2.244298479831486,0.041758472755186876,0.4034077543096313,0.0,0.0121,0.1493,0.0005,0.001
20,med_activity,"ZA, Durban, 2021W4, unlockable rfm test, -30% x 10 (15 ZAR)_30",2274,541,0.23790677220756376,0.2638471954205796,0.14332880447746793,1.3096915437536718,1.0458443483330901,0.4780123131046614,0.9688741302602112,0.20250231696014828,0.0,0.3408174134934606,1.2917227069637347,0.03540445524741548,0.1341854522689916,0.0,0.0012,0.4181,0.0001,0.0044
